student_name,subject,score,max_score,test_name,date
Aisha Bhatt,Science,84,100,Unit Test 1,2026-01-15
Aisha Bhatt,Computer Science,51,100,Unit Test 1,2026-01-15
Aisha Bhatt,Mathematics,72,100,Unit Test 1,2026-01-15
Aisha Bhatt,English,84,100,Unit Test 1,2026-01-15
Aisha Bhatt,Geography,51,100,Unit Test 1,2026-01-15
Aisha Bhatt,Science,88,100,Unit Test 2,2026-02-14
Aisha Bhatt,Computer Science,50,100,Unit Test 2,2026-02-14
Aisha Bhatt,English,78,100,Unit Test 2,2026-02-14
Aisha Bhatt,Mathematics,66,100,Unit Test 2,2026-02-14
Aisha Bhatt,Geography,53,100,Unit Test 2,2026-02-14
Aisha Bhatt,Computer Science,49,100,Unit Test 3,2026-03-16
Aisha Bhatt,Science,94,100,Unit Test 3,2026-03-16
Aisha Bhatt,Geography,52,100,Unit Test 3,2026-03-16
Aisha Bhatt,Mathematics,73,100,Unit Test 3,2026-03-16
Aisha Bhatt,English,73,100,Unit Test 3,2026-03-16
Aisha Bhatt,Geography,55,100,Unit Test 4,2026-04-15
Aisha Bhatt,Computer Science,50,100,Unit Test 4,2026-04-15
Aisha Bhatt,English,67,100,Unit Test 4,2026-04-15
Aisha Bhatt,Mathematics,66,100,Unit Test 4,2026-04-15
Aisha Bhatt,Science,98,100,Unit Test 4,2026-04-15
Aisha Bhatt,Mathematics,58,100,Unit Test 5,2026-05-15
Aisha Bhatt,Science,100,100,Unit Test 5,2026-05-15
Aisha Bhatt,Geography,56,100,Unit Test 5,2026-05-15
Aisha Bhatt,English,62,100,Unit Test 5,2026-05-15
Aisha Bhatt,Computer Science,49,100,Unit Test 5,2026-05-15
Aisha Bhatt,Computer Science,47,100,Unit Test 6,2026-06-14
Aisha Bhatt,Mathematics,47,100,Unit Test 6,2026-06-14
Aisha Bhatt,Science,100,100,Unit Test 6,2026-06-14
Aisha Bhatt,Geography,54,100,Unit Test 6,2026-06-14
Aisha Bhatt,English,56,100,Unit Test 6,2026-06-14
Aisha Kapoor,Science,74,100,Unit Test 1,2026-01-15
Aisha Kapoor,Geography,67,100,Unit Test 1,2026-01-15
Aisha Kapoor,History,71,100,Unit Test 1,2026-01-15
Aisha Kapoor,Computer Science,53,100,Unit Test 1,2026-01-15
Aisha Kapoor,Mathematics,63,100,Unit Test 1,2026-01-15
Aisha Kapoor,Science,75,100,Unit Test 2,2026-02-14
Aisha Kapoor,Geography,64,100,Unit Test 2,2026-02-14
Aisha Kapoor,Computer Science,48,100,Unit Test 2,2026-02-14
Aisha Kapoor,Mathematics,66,100,Unit Test 2,2026-02-14
Aisha Kapoor,History,66,100,Unit Test 2,2026-02-14
Aisha Kapoor,Science,77,100,Unit Test 3,2026-03-16
Aisha Kapoor,Computer Science,45,100,Unit Test 3,2026-03-16
Aisha Kapoor,Mathematics,68,100,Unit Test 3,2026-03-16
Aisha Kapoor,History,77,100,Unit Test 3,2026-03-16
Aisha Kapoor,Geography,62,100,Unit Test 3,2026-03-16
Aisha Kapoor,History,86,100,Unit Test 4,2026-04-15
Aisha Kapoor,Geography,60,100,Unit Test 4,2026-04-15
Aisha Kapoor,Science,74,100,Unit Test 4,2026-04-15
Aisha Kapoor,Computer Science,38,100,Unit Test 4,2026-04-15
Aisha Kapoor,Mathematics,66,100,Unit Test 4,2026-04-15
Aisha Kapoor,Geography,58,100,Unit Test 5,2026-05-15
Aisha Kapoor,Computer Science,34,100,Unit Test 5,2026-05-15
Aisha Kapoor,History,90,100,Unit Test 5,2026-05-15
Aisha Kapoor,Science,71,100,Unit Test 5,2026-05-15
Aisha Kapoor,Mathematics,67,100,Unit Test 5,2026-05-15
Aisha Kapoor,Science,72,100,Unit Test 6,2026-06-14
Aisha Kapoor,Geography,57,100,Unit Test 6,2026-06-14
Aisha Kapoor,Computer Science,29,100,Unit Test 6,2026-06-14
Aisha Kapoor,History,80,100,Unit Test 6,2026-06-14
Aisha Kapoor,Mathematics,67,100,Unit Test 6,2026-06-14
Aisha Kulkarni,English,67,100,Unit Test 1,2026-01-15
Aisha Kulkarni,Mathematics,80,100,Unit Test 1,2026-01-15
Aisha Kulkarni,History,82,100,Unit Test 1,2026-01-15
Aisha Kulkarni,Geography,64,100,Unit Test 1,2026-01-15
Aisha Kulkarni,Science,73,100,Unit Test 1,2026-01-15
Aisha Kulkarni,Computer Science,79,100,Unit Test 1,2026-01-15
Aisha Kulkarni,English,61,100,Unit Test 2,2026-02-14
Aisha Kulkarni,Geography,68,100,Unit Test 2,2026-02-14
Aisha Kulkarni,Computer Science,80,100,Unit Test 2,2026-02-14
Aisha Kulkarni,Mathematics,83,100,Unit Test 2,2026-02-14
Aisha Kulkarni,Science,66,100,Unit Test 2,2026-02-14
Aisha Kulkarni,History,80,100,Unit Test 2,2026-02-14
Aisha Kulkarni,English,68,100,Unit Test 3,2026-03-16
Aisha Kulkarni,Computer Science,82,100,Unit Test 3,2026-03-16
Aisha Kulkarni,Mathematics,83,100,Unit Test 3,2026-03-16
Aisha Kulkarni,History,85,100,Unit Test 3,2026-03-16
Aisha Kulkarni,Geography,73,100,Unit Test 3,2026-03-16
Aisha Kulkarni,Science,53,100,Unit Test 3,2026-03-16
Aisha Kulkarni,Computer Science,81,100,Unit Test 4,2026-04-15
Aisha Kulkarni,English,73,100,Unit Test 4,2026-04-15
Aisha Kulkarni,Geography,79,100,Unit Test 4,2026-04-15
Aisha Kulkarni,Mathematics,85,100,Unit Test 4,2026-04-15
Aisha Kulkarni,History,85,100,Unit Test 4,2026-04-15
Aisha Kulkarni,Science,61,100,Unit Test 4,2026-04-15
Aisha Kulkarni,Computer Science,78,100,Unit Test 5,2026-05-15
Aisha Kulkarni,Geography,83,100,Unit Test 5,2026-05-15
Aisha Kulkarni,Science,66,100,Unit Test 5,2026-05-15
Aisha Kulkarni,Mathematics,87,100,Unit Test 5,2026-05-15
Aisha Kulkarni,English,79,100,Unit Test 5,2026-05-15
Aisha Kulkarni,History,97,100,Unit Test 5,2026-05-15
